timestep:         0.0127065600000000
yAxisLabel:velocity [m/s]       
title:bogies velocity   
vv1,    vv2,    
  0.0007792767126468,  0.0099988398463024,
  0.0001775376801156,  0.0097143908205700,
 -0.0002759204695130,  0.0092735840515407,
 -0.0005980015259934,  0.0087002549746425,
 -0.0008309839684307,  0.0080446054597858,
 -0.0010157536298869,  0.0073560757408436,
 -0.0011733492359006,  0.0066634876764918,
 -0.0013137387517984,  0.0059824720448862,
 -0.0014688241232242,  0.0053491984173754,
 -0.0016550541765144,  0.0047836547797193,
 -0.0018796714987466,  0.0042956844570498,
 -0.0021277984533377,  0.0038715705564371,
 -0.0023798450207891,  0.0034912127975732,
 -0.0026098565591222,  0.0031265986027450,
 -0.0028021887643954,  0.0027590952040410,
 -0.0029447342522030,  0.0023733292390684,
 -0.0030468046114660,  0.0019760525047164,
 -0.0031264768897551,  0.0015843836739769,
 -0.0031988909700375,  0.0012141206387619,
 -0.0032698366587256,  0.0008725688460909,
 -0.0033487492064501,  0.0005711967233770,
 -0.0034297590463208,  0.0003060738647556,
 -0.0034926323816658,  0.0000577255632791,
 -0.0035129204810485, -0.0001994309351040,
 -0.0034850268750132, -0.0004733793074007,
 -0.0034186284755217, -0.0007568844363342,
 -0.0033258294804879, -0.0010396974093199,
 -0.0032101255634687, -0.0013199457882531,
 -0.0030906220040810, -0.0015796347253960,
 -0.0029814111880660, -0.0018049536614612,
 -0.0028955820607639, -0.0019824191681893,
 -0.0028481899671682, -0.0020958548605199,
 -0.0028505541428250, -0.0021320079993249,
 -0.0028963747615542, -0.0020951431509534,
 -0.0029839483437002, -0.0019850812175991,
 -0.0030994044600261, -0.0018141367457679,
 -0.0032241795140404, -0.0016000804776822,
 -0.0033387532310333, -0.0013625702333856,
 -0.0034247359338576, -0.0011209832394626,
 -0.0034570133839921, -0.0009025827333587,
 -0.0034201098953427, -0.0007261063169142,
 -0.0032991445575031, -0.0006106619860840,
 -0.0030878529943516, -0.0005675384556623,
 -0.0027874632035178, -0.0006010313718251,
 -0.0024120374353980, -0.0007025477476330,
 -0.0019814981265958, -0.0008571637679359,
 -0.0015349620097415, -0.0010294780937616,
 -0.0011067935171881, -0.0011871721128480,
 -0.0007224550933095, -0.0013055956018200,
 -0.0003969908645380, -0.0013698892155434,
 -0.0001414159213403, -0.0013688134377725,
  0.0000439870709696, -0.0013017223145013,
  0.0001620198435706, -0.0011710340262942,
  0.0002240323112719, -0.0009878585934882,
  0.0002416188737802, -0.0007637135754140,
  0.0002315508055748, -0.0005155343227419,
  0.0002075404871996, -0.0002573900250951,
  0.0001853182006917, -0.0000055881169226,
  0.0001750267883609,  0.0002290120160254,
  0.0001868619587690,  0.0004353508160256,
  0.0002243455288351,  0.0006089843608410,
  0.0002906141904528,  0.0007457889197727,
  0.0003825001106399,  0.0008479647199280,
  0.0004972764547247,  0.0009172768411649,
  0.0006272603321251,  0.0009605272588816,
  0.0007666834851150,  0.0009826612845330,
  0.0009064693170687,  0.0009920551681668,
  0.0010409054307328,  0.0009938111828969,
  0.0011623154631629,  0.0009951402557764,
  0.0012673246914889,  0.0009990549410112,
  0.0013512905202537,  0.0010099839954063,
  0.0014141066788123,  0.0010279188661187,
  0.0014544060259735,  0.0010542481938900,
  0.0014749809673600,  0.0010862823809574,
  0.0014768771942218,  0.0011231921314287,
  0.0014645799387181,  0.0011607646258976,
  0.0014401545853362,  0.0011972935513448,
  0.0014083525181957,  0.0012284165280252,
  0.0013709300282921,  0.0012528283753010,
  0.0013317806003596,  0.0012670956424000,
  0.0012915018604718,  0.0012711254143714,
  0.0012525923284398,  0.0012629201880816,
  0.0012142675784583,  0.0012438014939247,
  0.0011776972313781,  0.0012131289957600,
  0.0011410204027403,  0.0011733278226736,
  0.0011045616626719,  0.0011246315983464,
  0.0010659742700992,  0.0010699830828338,
  0.0010253673197808,  0.0010098668732018,
  0.0009805123251449,  0.0009471458228593,
  0.0009318316912223,  0.0008820315359664,
  0.0008776298913405,  0.0008168939516776,
  0.0008189233006549,  0.0007513886761623,
  0.0007546881136140,  0.0006872471506865,
